Date,Unnamed: 0,Census Tract, Total Population,California County,ZIP,"Nearby City 
(to help approximate location only)",Longitude,Latitude,DRAFT CES 4.0 Score,DRAFT CES 4.0 Percentile,"DRAFT CES 4.0
Percentile Range",Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl
2023-07-08,3436,6001410400,4185,Alameda ,94603,Oakland,-122.1621741,37.7408161,27.73,56.67,55-60%,0.03,6.83,8.352279593,19.15,0.157,52.87,108.41,3.93,77.45,86.79,0.0,0.0,592.7390137,50.02,423.7274244,15.63,4.5,42.96,44.6,88.84,0.0,0.0,0.0,0.0,0.2,8.4,28.95,3.56,18.38,177.88,99.56,7.56,94.28,15.68,70.0,25.0,72.57,11.5,66.9,33.2,56.24,10.5,84.13,14.0,30.96,75.06,7.78,86.31
2023-12-17,3439,6095252904,6599,Solano ,95688,Vacaville,-121.9310061,38.4043615,27.71,56.63,55-60%,0.043,33.69,7.931678955,12.67,0.085,31.52,624.79,59.58,14.54,7.18,149.55,79.26,350.5446625,41.95,886.6325719,50.49,26.0,89.06,34.3,83.72,1.4,85.55,4.0,44.59,5.2,75.75,51.61,6.35,78.83,82.52,86.76,3.74,20.89,15.19,67.49,10.1,41.15,1.9,14.42,11.4,12.26,6.0,48.56,10.0,12.53,42.08,4.36,38.4
2023-02-10,3442,6085503713,3457,Santa Clara,95116,San Jose,-121.8410727,37.3647065,27.7,56.6,55-60%,0.039,22.49,8.856507559,34.18,0.825,96.99,289.69,18.44,45.95,45.47,0.0,0.0,81.82140097,24.55,2927.733622,95.51,0.0,0.0,2.45,18.0,0.01,8.74,1.0,13.12,0.0,0.0,30.79,3.79,22.2,59.12,68.16,8.31,97.58,11.52,42.4,39.2,88.32,38.9,98.28,49.0,78.0,1.2,1.28,31.6,92.07,70.48,7.31,80.34
2023-08-18,3443,6097154201,3874,Sonoma ,95425,Cloverdale,-123.0170717,38.8133955,27.69,56.58,55-60%,0.036,14.74,6.415196478,4.63,0.068,25.13,573.63,55.59,72.1,81.12,38.47,70.85,0.0319522,1.88,290.585222,7.75,21.0,85.04,44.0,88.48,0.0,0.0,4.0,44.59,6.1,79.76,41.67,5.13,52.72,35.36,34.15,5.36,61.21,11.5,42.11,25.2,72.95,11.2,65.94,49.0,78.0,4.1,24.32,17.8,50.44,52.08,5.4,53.29
2023-02-22,3445,6075025800,2020,San Francisco,94134,San Francisco,-122.4020019,37.7216202,27.68,56.56,55-60%,0.028,1.72,8.747823793,31.47,1.389,99.28,257.97,13.56,68.48,77.13,0.12,24.89,439.660675,44.69,2347.634269,91.06,4.4,41.17,0.4,3.71,0.05,26.37,9.0,78.41,1.75,41.22,44.71,5.5,61.18,67.98,77.18,3.55,17.21,10.43,33.5,27.9,76.8,11.1,65.59,24.6,40.79,5.2,39.12,17.6,49.62,48.51,5.03,48.06
2023-10-05,3446,6055200203,2352,Napa ,94559,Napa,-122.2891839,38.2870988,27.67,56.54,55-60%,0.036,15.0,9.728985167,46.43,0.231,67.26,394.03,33.75,70.91,79.98,0.0,0.0,736.3343403,55.11,641.2149624,31.49,13.0,73.39,40.5,87.07,0.0,0.0,2.0,24.15,2.0,51.98,43.19,5.32,57.03,43.69,47.18,5.65,67.92,11.04,38.24,17.4,59.41,14.5,75.14,27.4,46.29,4.3,27.44,15.3,38.17,50.2,5.21,50.59
2023-04-05,3448,6075017801,3654,San Francisco,94107,San Francisco,-122.4011589,37.7820284,27.67,56.52,55-60%,0.028,1.16,8.64348771,27.92,1.753,99.59,257.97,13.56,8.74,3.02,0.0,0.0,590.5853373,49.93,1830.219402,84.31,33.15,92.61,9.2,45.44,0.61,75.45,16.0,96.08,0.0,0.0,43.93,5.41,59.15,64.28,73.55,4.03,27.29,9.22,22.92,33.3,82.83,44.4,98.96,49.5,78.56,2.4,6.9,11.8,20.05,49.36,5.12,49.39
2023-08-30,3468,6001435900,5525,Alameda ,94580,San Lorenzo,-122.147305,37.6724681,27.58,56.27,55-60%,0.031,8.57,8.721861924,30.6,0.096,36.05,108.41,3.93,74.75,83.96,0.0,0.0,585.8336792,49.75,592.0279201,27.81,2.25,29.44,31.85,81.74,0.75,78.65,10.0,84.2,0.0,0.0,38.32,4.72,42.68,80.37,85.44,5.22,58.02,17.08,76.57,12.9,49.79,9.2,58.05,18.5,28.25,6.2,51.22,9.3,9.88,56.39,5.85,59.79
2023-07-19,3469,6085512506,7443,Santa Clara,95020,Gilroy,-121.5817971,37.0230024,27.58,56.25,55-60%,0.041,28.57,6.430702689,4.74,0.241,68.9,362.38,29.5,57.58,62.13,115.29,78.08,1.9494667,7.08,516.415003,22.19,10.5,65.2,25.75,76.43,0.0,0.0,0.0,0.0,0.0,0.0,34.54,4.25,32.01,59.06,68.13,5.25,58.79,17.01,76.17,24.4,71.57,9.2,58.05,30.7,52.09,5.4,41.23,20.9,64.2,62.56,6.49,69.17
2023-03-20,3473,6001440200,6261,Alameda ,94587,Union City,-122.0225206,37.6003676,27.54,56.2,55-60%,0.036,14.75,8.593302266,25.68,0.263,72.15,322.5,24.72,74.45,83.57,0.0,0.0,403.868337,43.62,712.5242446,37.13,7.15,53.21,67.7,94.31,0.26,59.48,0.0,0.0,0.0,0.0,38.93,4.79,44.78,59.87,68.79,5.26,59.19,16.14,72.18,25.5,73.42,9.6,59.82,25.5,42.55,2.6,8.26,15.0,36.66,55.43,5.75,58.55
2023-05-16,3494,6013367100,5193,Contra Costa,94806,San Pablo,-122.3305065,37.970609,27.35,55.94,55-60%,0.031,7.75,9.046531851,38.28,0.399,84.85,108.41,3.93,65.46,73.21,0.01,12.43,1583.685323,69.34,1394.004574,75.26,0.0,0.0,0.0,0.0,0.02,10.06,2.0,24.15,0.0,0.0,32.7,4.03,26.85,104.8,94.03,5.04,53.46,17.82,80.0,18.8,62.06,6.0,42.95,35.9,60.08,8.1,70.02,15.9,41.03,65.53,6.79,73.67
2023-04-14,3495,6001436700,3290,Alameda ,94541,Hayward,-122.1005196,37.6619708,27.35,55.93,55-60%,0.033,10.83,8.760743683,31.76,0.889,97.46,185.81,5.92,54.13,57.32,0.0,0.0,646.0839844,52.17,3213.706778,96.81,16.0,79.15,8.7,43.85,0.01,8.74,0.0,0.0,0.0,0.0,38.14,4.69,42.2,79.66,84.9,5.38,61.71,15.1,66.86,15.8,56.32,14.0,73.97,24.0,39.64,3.4,16.1,11.8,20.05,56.19,5.83,59.45
2023-06-30,3497,6001437701,3597,Alameda ,94544,Hayward,-122.0697491,37.6348665,27.34,55.9,55-60%,0.034,12.59,8.71102385,30.17,0.137,47.7,185.81,5.92,67.67,76.04,0.1,23.71,662.6239828,52.78,976.8243304,56.41,0.0,0.0,7.4,40.11,0.0,0.0,0.0,0.0,0.0,0.0,28.12,3.46,16.63,104.45,93.99,8.39,97.82,20.87,90.15,27.3,76.02,17.0,81.2,37.1,61.77,1.9,3.8,22.2,69.11,76.19,7.9,87.93
2023-01-08,3498,6075020200,6181,San Francisco,94103,San Francisco,-122.4241789,37.7671163,27.34,55.89,55-60%,0.028,2.18,8.560069979,24.51,1.263,99.02,257.97,13.56,59.37,64.63,0.0,5.23,530.6379903,47.73,708.6930278,36.81,6.5,50.2,17.95,65.69,0.755,78.67,0.0,0.0,1.5,39.94,40.11,4.94,48.23,82.16,86.55,6.67,86.03,9.47,25.21,4.8,20.01,10.9,64.83,29.4,49.79,5.5,42.51,13.3,27.35,53.41,5.54,55.44
2023-05-13,3509,6075011800,1477,San Francisco,94108,San Francisco,-122.4061645,37.7933506,27.27,55.75,55-60%,0.028,1.13,8.726242016,30.88,0.709,95.58,257.97,13.56,73.93,83.0,0.0,0.0,642.8196716,52.03,533.9397882,23.56,1.3,21.12,9.85,47.08,1.375,85.32,10.0,84.2,0.0,0.0,40.83,5.03,50.3,27.6,21.14,3.85,23.06,7.04,7.8,32.4,82.08,55.8,99.75,52.8,82.46,,,28.0,85.1,52.34,5.43,53.76
2023-06-07,3512,6097153002,6874,Sonoma ,95401,Santa Rosa,-122.7327641,38.4410975,27.26,55.71,55-60%,0.032,8.72,7.43051198,9.27,0.224,66.2,147.72,4.61,62.52,69.12,0.0,0.0,0.005927167,1.0,1469.15453,77.4,4.0,39.89,129.0,97.86,0.05,26.37,4.0,44.59,10.25,91.35,39.7,4.89,46.91,56.21,64.23,3.49,16.0,15.92,71.05,24.8,72.27,12.7,70.6,35.9,60.08,4.7,32.61,17.8,50.44,53.81,5.58,56.05
2023-10-07,3515,6055200503,1683,Napa ,94559,Napa,-122.287051,38.3052531,27.25,55.67,55-60%,0.036,15.63,10.33604293,51.33,0.097,36.18,394.03,33.75,76.31,85.58,0.03,16.73,670.1203513,53.0,600.4403465,28.45,6.5,50.2,45.0,89.01,0.1,41.46,3.0,34.11,2.0,51.98,44.5,5.48,60.63,43.69,47.18,5.13,55.85,11.04,38.24,15.3,55.39,14.4,74.92,39.9,65.65,2.4,6.9,16.0,41.51,47.98,4.97,47.33
2023-04-28,3519,6095250103,4988,Solano ,94591,Vallejo,-122.2216027,38.1164685,27.24,55.62,55-60%,0.035,12.97,9.111881336,39.42,0.194,60.97,297.4,19.21,39.09,35.74,0.0,0.0,1150.98999,63.95,2159.560847,89.25,0.0,0.0,17.5,65.36,0.0,0.0,1.0,13.12,0.0,0.0,32.02,3.94,25.12,82.72,86.88,6.54,84.03,12.96,53.55,11.4,45.44,6.7,46.44,27.5,46.47,8.5,73.08,26.2,81.09,66.66,6.91,75.26
2023-07-28,3528,6075012402,4320,San Francisco,94102,San Francisco,-122.4177669,37.780125,27.2,55.51,55-60%,0.028,1.74,8.601749206,26.16,1.964,99.75,257.97,13.56,36.61,32.36,0.0,6.02,571.0069987,49.08,1059.738546,61.81,24.65,88.18,25.0,75.62,0.675,77.08,0.0,0.0,0.0,0.0,40.27,4.96,48.65,54.59,62.5,6.67,86.03,6.8,6.69,10.6,42.63,10.6,63.66,32.1,54.2,4.3,27.44,26.9,82.77,52.94,5.49,54.7
2023-09-09,3538,6075061100,4692,San Francisco,94111,San Francisco,-122.4040647,37.7955998,27.13,55.38,55-60%,0.028,1.07,8.726242016,30.88,0.768,96.37,257.97,13.56,60.73,66.68,0.0,0.0,644.4383341,52.08,443.1552291,16.88,2.9,32.2,15.1,60.75,1.575,86.42,10.0,84.2,0.0,0.0,40.7,5.01,49.81,18.72,7.51,4.31,33.95,4.03,0.1,60.8,99.24,75.2,99.99,71.6,97.01,7.7,66.71,30.4,90.15,52.24,5.42,53.61
2023-06-07,3550,6085503217,4785,Santa Clara,95111,San Jose,-121.8303183,37.2867501,27.07,55.23,55-60%,0.04,24.59,8.464617057,21.9,0.176,57.51,289.69,18.44,69.06,77.94,0.0,0.0,58.60326767,22.25,1304.387077,72.38,4.6,43.32,15.7,61.77,0.0,0.0,3.0,34.11,0.2,8.4,34.42,4.24,31.65,65.99,75.34,4.77,46.01,13.69,58.54,25.9,73.99,16.2,79.41,41.3,67.71,5.0,36.44,19.6,58.82,61.62,6.39,67.79
2023-03-08,3576,6075026100,7516,San Francisco,94112,San Francisco,-122.4431582,37.7196219,26.92,54.91,50-55%,0.028,2.97,8.654649382,28.16,0.838,97.06,257.97,13.56,74.41,83.52,0.0,0.0,411.6046651,43.88,1415.982382,75.88,0.0,0.0,0.7,5.71,0.1,41.46,0.0,0.0,1.0,33.24,34.11,4.2,30.83,53.52,60.77,6.74,87.09,10.62,35.09,25.8,73.85,21.0,87.42,23.3,38.43,6.4,53.92,19.8,59.73,61.83,6.41,68.13
2023-01-15,3577,6097152702,5644,Sonoma ,95403,Santa Rosa,-122.7912911,38.5043031,26.92,54.89,50-55%,0.033,10.03,7.071797746,7.09,0.145,50.11,735.23,76.87,38.53,34.86,103.91,77.4,0.0135239,1.54,1456.468086,77.15,58.5,97.25,15.5,61.64,1.65,86.91,4.0,44.59,15.5,96.25,53.7,6.61,83.14,50.34,57.0,3.27,12.38,12.69,52.01,14.8,54.41,0.5,1.98,26.1,43.74,4.3,27.44,20.6,62.89,39.28,4.07,34.25
2023-02-04,3581,6081602000,8439,San Mateo,94080,South San Francisco,-122.4203403,37.6678381,26.88,54.84,50-55%,0.028,3.48,8.548393806,24.11,0.082,30.38,368.93,30.31,67.21,75.31,0.56,37.18,297.0680034,39.6,306.6552894,8.61,11.75,67.62,50.2,90.54,2.42,91.21,10.0,84.2,0.0,0.0,42.99,5.29,56.45,53.22,60.44,5.91,73.33,10.89,36.95,15.5,55.85,5.2,38.62,21.5,34.79,3.1,12.85,20.7,63.33,49.0,5.08,48.92
2023-08-02,3600,6085503111,5196,Santa Clara,95122,San Jose,-121.8397083,37.3225762,26.74,54.6,50-55%,0.039,23.11,8.921240743,35.57,0.38,83.5,339.61,27.55,47.52,47.78,0.0,0.0,74.86683147,23.85,4652.054001,99.41,0.7,10.98,2.4,17.9,0.0,0.0,3.0,34.11,0.0,0.0,32.6,4.01,26.62,71.58,79.47,5.04,53.46,15.02,66.44,33.8,83.37,16.1,79.19,31.2,52.9,6.2,51.22,16.4,43.74,64.27,6.66,71.97
2023-05-01,3602,6097153102,5735,Sonoma ,95407,Santa Rosa,-122.7216605,38.4201079,26.72,54.58,50-55%,0.031,8.55,7.44510658,9.33,0.373,83.01,204.93,7.22,65.43,73.15,0.27,30.59,0.0053761,0.91,1959.373499,86.35,1.4,21.8,62.7,93.57,0.0,0.0,4.0,44.59,0.1,1.98,35.72,4.4,34.9,72.77,80.48,3.5,16.22,20.69,89.34,30.4,79.7,14.5,75.14,34.6,58.38,4.6,31.32,14.1,31.55,58.62,6.08,63.27
2023-06-06,3607,6085503212,4403,Santa Clara,95121,San Jose,-121.8288535,37.3046588,26.71,54.51,50-55%,0.04,24.24,8.621614118,27.01,0.276,73.71,439.35,41.34,40.67,38.09,0.0,0.0,67.7118988,23.15,2984.868748,95.78,8.4,56.97,1.3,10.84,0.0,0.0,3.0,34.11,0.5,20.37,35.1,4.32,33.29,46.54,51.32,8.03,96.56,12.24,47.88,26.6,74.96,18.8,84.28,26.5,44.47,2.9,11.06,18.8,55.26,59.63,6.18,64.65
2023-06-13,3610,6001410200,3399,Alameda ,94603,Oakland,-122.1571742,37.7453063,26.69,54.48,50-55%,0.03,7.18,8.369486451,19.5,0.109,40.24,108.41,3.93,85.49,93.74,0.0,0.0,570.4646606,49.04,405.2985067,14.51,9.0,60.78,42.0,87.62,0.0,0.0,0.0,0.0,0.0,0.0,28.9,3.56,18.33,159.02,99.34,8.83,98.54,13.97,60.06,18.8,62.06,3.1,24.67,44.1,71.78,,,24.5,76.46,72.36,7.5,82.84
2023-12-14,3611,6013370000,2814,Contra Costa,94805,Richmond,-122.322249,37.93966,26.67,54.46,50-55%,0.03,6.73,9.063112193,38.64,0.548,91.45,108.41,3.93,70.6,79.64,0.14,26.5,2135.927328,74.27,1938.141795,86.03,22.0,85.92,9.25,45.72,0.0,0.0,2.0,24.15,0.0,0.0,44.32,5.45,60.16,69.93,78.53,5.13,55.85,11.76,44.18,7.3,30.78,10.7,64.07,13.2,16.18,3.4,16.1,17.0,46.8,47.15,4.89,46.04
2023-02-01,3614,6001422200,3347,Alameda ,94702,Berkeley,-122.2878154,37.8728822,26.66,54.43,50-55%,0.029,4.04,9.084806909,39.05,0.186,59.66,108.41,3.93,57.12,61.43,0.0,0.0,1265.110698,65.67,764.1546687,41.51,5.0,45.2,68.15,94.39,0.26,59.48,12.0,90.16,0.0,0.0,42.22,5.2,54.03,85.49,87.91,5.24,58.56,14.18,61.42,5.7,24.29,2.0,15.38,23.3,38.43,1.6,2.59,21.7,67.52,49.47,5.13,49.56
2023-10-18,3622,6085509000,7832,Santa Clara,94085,Sunnyvale,-122.0216787,37.3922706,26.6,54.33,50-55%,0.036,15.2,8.307741641,18.36,0.363,82.14,387.25,32.08,69.42,78.44,0.0,0.0,105.5293325,27.73,2228.421977,90.1,55.3,96.79,111.05,97.31,0.5,70.25,0.0,0.0,0.0,0.0,46.29,5.7,65.58,25.13,16.7,6.25,79.73,9.83,28.29,18.6,61.67,15.8,78.5,31.4,53.12,1.9,3.8,16.7,45.27,45.02,4.67,42.8
2023-07-18,3624,6085502002,5933,Santa Clara,95126,San Jose,-121.9208804,37.3194479,26.58,54.3,50-55%,0.038,19.79,8.703949252,29.93,0.432,86.67,289.69,18.44,69.25,78.18,0.0,0.0,101.7663015,27.42,1997.450522,87.08,7.1,53.12,23.45,73.51,0.025,16.41,1.0,13.12,0.0,0.0,39.37,4.85,45.91,37.5,37.3,5.47,63.77,10.38,32.9,29.2,78.36,12.2,69.14,40.0,65.79,1.4,1.79,30.8,90.7,52.91,5.49,54.63
2023-11-13,3627,6001444302,4692,Alameda ,94560,Newark,-122.0473856,37.5125267,26.57,54.26,50-55%,0.035,13.25,8.621921288,27.03,0.07,26.14,203.34,7.21,59.02,64.09,0.0,0.0,96.90703073,26.75,323.4898213,9.44,19.2,83.38,116.75,97.62,4.5,95.14,0.0,0.0,2.0,51.98,36.37,4.48,36.79,66.86,76.12,6.06,76.44,15.12,67.0,10.5,42.32,7.3,49.69,25.1,41.82,4.3,27.44,16.7,45.27,57.25,5.94,61.08
2023-06-27,3629,6001437500,4586,Alameda ,94544,Hayward,-122.0793899,37.644034,26.56,54.24,50-55%,0.034,11.99,8.629303968,27.34,0.09,33.6,185.81,5.92,78.67,87.99,0.18,28.22,747.2436523,55.37,717.9848357,37.66,0.0,0.0,7.9,42.0,0.01,8.74,0.0,0.0,0.0,0.0,27.39,3.37,15.1,104.45,93.99,5.47,63.77,20.87,90.15,30.0,79.16,16.4,79.78,36.6,61.08,6.6,56.19,22.6,70.33,75.97,7.88,87.69
2023-10-18,3635,6075025500,9754,San Francisco,94112,San Francisco,-122.4372627,37.7280611,26.54,54.16,50-55%,0.028,2.74,8.657167779,28.24,1.092,98.59,257.97,13.56,74.37,83.43,0.0,0.0,431.9233297,44.43,1405.378255,75.55,0.0,0.0,2.2,17.17,0.1,41.46,0.0,0.0,2.0,51.98,36.25,4.46,36.44,53.52,60.77,6.07,76.64,10.62,35.09,17.6,59.74,14.2,74.44,19.8,31.24,6.4,53.92,21.5,66.72,57.36,5.95,61.27
2023-11-05,3644,6095252608,4205,Solano ,94533,Fairfield,-122.0232104,38.2665083,26.49,54.05,50-55%,0.04,25.8,8.425006727,20.86,0.058,21.24,285.98,16.26,53.32,56.14,0.0,0.0,505.2933248,46.91,752.1882734,40.5,0.0,0.0,0.5,4.99,0.5,70.25,4.0,44.59,0.0,0.0,26.96,3.32,14.14,136.39,98.06,7.47,93.65,18.1,81.09,22.7,68.82,6.1,43.45,42.9,69.99,5.8,46.14,28.7,86.68,76.97,7.98,88.95
2023-09-06,3664,6085500300,3987,Santa Clara,95110,San Jose,-121.9079708,37.3395861,26.35,53.8,50-55%,0.038,19.19,8.877471673,34.64,0.503,90.02,289.69,18.44,44.18,42.79,0.0,0.0,98.13386537,26.97,1419.179581,75.98,45.15,95.37,165.55,98.72,3.1,93.6,3.0,34.11,0.0,0.0,47.12,5.8,67.88,45.67,49.93,5.08,54.62,10.79,36.49,13.0,50.0,2.7,21.58,26.1,43.74,7.4,64.21,12.6,23.64,43.82,4.54,41.0
2023-08-07,3683,6095253404,7138,Solano ,95620,Dixon,-121.8314911,38.4598591,26.19,53.56,50-55%,0.043,33.78,8.632594372,27.55,0.272,73.35,536.65,52.0,40.07,37.16,122.41,78.44,72.53179933,23.66,2417.683408,91.83,0.0,0.0,19.2,68.05,0.535,71.97,0.0,0.0,0.0,0.0,44.15,5.43,59.71,59.94,68.91,3.3,12.97,14.54,63.72,18.3,61.14,1.6,11.96,32.2,54.5,5.7,44.89,17.6,49.62,46.48,4.82,44.87
2023-04-07,3685,6001406601,5042,Alameda ,94602,Oakland,-122.2079568,37.7936085,26.16,53.53,50-55%,0.029,4.74,9.124747969,39.54,0.237,68.39,108.41,3.93,82.36,91.52,0.0,0.0,617.0326742,51.08,1994.987397,87.01,0.0,0.0,41.25,87.32,0.0,0.0,1.0,13.12,0.0,0.0,35.55,4.38,34.49,63.0,72.42,4.85,48.27,7.68,11.39,24.8,72.27,16.5,80.03,39.3,64.75,7.5,65.16,23.8,74.22,57.66,5.98,61.75
